fold,Accuracy,Precision,Recall,F1-Score,AUROC,AUPRC
1,0.9077292120635037,0.10415808974886785,0.42414082145850796,0.1672450834572798,0.7295046085473008,0.09095792966219306
2,0.9130908458376439,0.10749891634156913,0.44108492663405957,0.17286747407859196,0.7533015546013222,0.08896136036778352
3,0.9062428475954188,0.09981796116504854,0.4241512677266867,0.16160458452722062,0.7331901412470062,0.08220315647450684
4,0.9092756887411761,0.10244007309470063,0.37937898089171973,0.16132035548032161,0.7467017587058751,0.08889234310683995
5,0.9088728358099633,0.10209011658439239,0.4090909090909091,0.16340253845507272,0.7329551343531876,0.088350245435739
