fold,Accuracy,Precision,Recall,F1-Score,AUROC,AUPRC
1,0.7026881031294062,0.04381841889801983,0.6056160938809724,0.0817238356474281,0.7030043317601706,0.08208383832872464
2,0.704931840445303,0.04175709962400269,0.6073810582481103,0.07814198272410044,0.7092896400394317,0.0785125249383321
3,0.6985324410184108,0.04229733772061023,0.6076493339063171,0.07908940906675616,0.7183463466698234,0.08634362845230202
4,0.6964777835764184,0.043886027332003454,0.5867834394904459,0.08166431203080418,0.6832123331367354,0.07551020147794171
5,0.7006253376182237,0.04273736276993606,0.5963804713804713,0.07975909039738827,0.7017691125774097,0.07902982773214043
