fold,Accuracy,Precision,Recall,F1-Score,AUROC,AUPRC
1,0.9258665836553075,0.1167628506240773,0.36462699077954736,0.17688319609637085,0.7334216018930803,0.09131204595522356
2,0.9247818802698917,0.11228070175438597,0.3841707425522454,0.1737731295253419,0.750178164392209,0.09150311822927343
3,0.924873431048531,0.11347797501643656,0.37086377309840995,0.17378171566653242,0.7289934094721312,0.08325841938533193
4,0.9269188159786121,0.12441636912936006,0.3606687898089172,0.18501123136614253,0.7343930682546193,0.09032419507332247
5,0.9250968220397177,0.11243156629723594,0.3543771043771044,0.170704510897111,0.7162101008367797,0.08343886059693897
