Model,AUROC,AUPRC,Precision,Recall,F1
Full (84 features),0.7645648118687051,0.10791753059537579,0.0829754601226994,0.48325145154086646,0.14163230577917402
Dynamic only (77),0.684407805992176,0.053549994646722866,0.04590576292503257,0.4564537740062528,0.08342176148885805
Static+time only (7),0.6790927277060319,0.07318083138397932,0.05636147443519619,0.42340330504689594,0.0994805603651818
Dynamic + no ICULOS,0.684407805992176,0.053549994646722866,0.04590576292503257,0.4564537740062528,0.08342176148885805
No ICULOS + HospAdmTime,0.7586744758654155,0.10166563745416189,0.081965967790945,0.4819115676641358,0.1401025774199831
